jid,lid
232,133
18074,403
12243,123
24347,304
17688,367
327,370
29735,14
29399,65
16906,331
3210,309
22893,370
13705,268
3686,238
36399,268
32810,123
28916,96
5829,367
20848,25
39,88
15264,346
25806,151
2766,268
28137,331
14441,309
26017,371
0,133
21290,343
29556,429
6997,65
31589,390
21188,66
11666,88
2726,88
29899,14
14286,371
15265,197
18575,173
15853,367
27463,13
27179,254
19744,96
20616,25
33312,118
2534,268
5932,91
34960,268
4815,331
23235,83
18221,25
5153,326
19453,297
33209,370
28828,225
29855,65
25526,110
31847,25
10842,176
11772,83
30249,369
29848,25
99,88
4544,403
7596,343
32486,133
17078,168
6278,327
31178,51
16773,286
29959,14
303,268
2980,331
1175,197
25674,331
12374,309
5655,321
12460,83
24853,367
28309,168
6922,25
14355,110
29616,25
32689,88
33069,309
11930,268
14211,331
3903,198
12270,336
19271,10
4054,367
16060,13
16101,14
33706,371
2496,110
18153,25
18158,369
22002,309
18549,25
8621,113
7561,133
71,268
32974,422
11113,396
1531,367
25017,367
15681,367
4638,14
20782,47
1145,331
14505,404
23063,110
23839,331
1772,429
13682,367
26565,286
6100,159
11728,110
27781,25
18887,370
10095,268
9699,268
20726,88
25408,373
35466,331
1631,197
15428,271
35070,331
1823,367
21217,325
14326,65
4802,14
6586,25
6982,25
6987,369
9263,88
18558,87
19375,309
20930,268
36243,373
8882,396
2991,65
11306,13
2803,14
11994,387
26333,286
33487,202
31398,309
9863,268
2810,404
25900,404
24532,271
1987,367
12441,325
16214,25
7468,268
30954,268
32800,403
32459,110
809,331
2366,363
23519,110
30034,268
14437,404
23078,367
17448,343
10483,326
11598,13
4751,25
7824,88
27841,25
30122,88
12438,404
1982,373
24389,343
14925,343
11219,367
28736,123
3588,297
12146,3
23326,65
14386,65
34181,367
19055,88
16135,267
18659,88
30722,268
30326,268
36016,343
36412,343
389,280
36162,168
22846,367
3212,168
11082,254
15559,107
35289,14
35729,286
7592,88
10589,321
1797,219
24553,343
24157,343
25957,133
19386,43
528,65
877,219
11383,367
10987,367
24014,65
2520,25
25763,267
16864,268
9429,110
10601,331
25086,25
22612,321
15903,267
4189,271
12592,66
19314,325
29708,232
11530,13
29176,371
12407,286
28491,268
1755,343
12894,404
35497,286
21832,331
21644,280
20615,367
35496,61
8034,32
25779,369
8377,371
2439,194
8756,367
32242,367
23775,25
8527,315
23379,25
28655,268
4781,159
35402,25
35006,25
8619,254
19125,402
26260,268
16148,47
17320,268
19997,331
34482,25
36029,123
4876,396
14931,83
16796,268
3475,123
12754,343
22525,271
9316,367
849,25
32483,25
23147,25
12027,14
5857,268
5461,268
7362,110
8534,331
1687,343
6921,367
10565,219
30011,367
33321,343
18643,254
15281,88
10088,65
10812,96
35170,25
27109,371
17773,371
26424,268
26028,268
19765,331
31468,168
21858,343
18152,367
30595,14
21655,14
19079,3
22004,168
31379,96
15089,268
36228,309
17766,331
11828,154
6310,371
5625,268
8302,331
21312,25
24385,88
23989,88
3626,268
860,133
9079,373
25796,268
7756,13
8977,96
29892,429
3190,88
18847,3
24193,268
7080,373
17474,280
17930,331
30170,373
1191,88
28039,254
6853,367
35820,268
28973,280
27507,366
19081,25
29600,378
30715,65
677,25
35384,88
23524,267
14625,268
17536,3
4717,254
6365,404
15983,90
31731,123
10633,83
1693,83
1297,83
8852,343
8456,343
35192,268
8891,271
4622,367
19641,25
30819,14
33589,268
6457,343
8656,404
26154,110
28820,14
28484,65
14444,233
32281,159
8222,297
21536,25
13535,422
18480,343
19537,25
5445,3
17021,65
28535,3
3356,110
18284,404
931,268
4004,331
24417,268
31511,133
33357,268
6767,168
22028,83
26932,3
6035,219
29213,66
17014,25
5498,14
10751,88
10355,88
22418,268
22022,268
25095,331
32137,6
11774,186
4284,321
34093,309
36710,321
10693,83
9289,293
13826,197
26253,65
5078,367
22378,88
29821,107
3861,403
25055,151
15853,343
20328,123
15911,321
33125,268
25049,336
7446,25
10519,88
15092,403
5073,373
22186,268
23118,248
18016,343
10723,268
36378,90
6681,343
36490,331
15478,65
13738,326
17074,25
19751,88
24761,404
31418,268
1669,331
24379,110
26712,363
34491,331
23938,367
27248,343
14078,367
5611,25
6447,297
26125,14
13296,331
36096,3
6347,66
34645,367
26178,25
19519,88
2169,280
8096,268
4846,343
31582,268
424,197
24923,331
23555,198
32545,315
616,367
32646,367
33042,367
23310,367
17916,88
5775,25
